OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
3718,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6207,Solid Waste Grant Reimbursement,All Account,Net Amount (Revenue less Expense),Revenues,Intergovernmental,Intergovernmental Accounts,R_334010,State Government Grants - Op - Ncat,114193
3719,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452040,Other Insurance Premiums,585
3720,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452020,Property Insurance Premiums,4452
3721,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,49
3722,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,827284
3723,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,City Property,Property Accounts,E_474230,Vehicle Replacement Charge,5500000
3724,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481120,Property Taxes And Assessments,110824
3725,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481050,Bad Debt Expense,-310000
3726,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481050,Bad Debt Expense,1200000
3727,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,2030683
3728,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6207,Solid Waste Grant Reimbursement,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,114193
3729,AdjAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503060,General Tax Transfer - Debit,6234700
3730,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502180,Cost Plan - Debit,2177518
3731,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001712,SW Fund Level Programs,Fund Total,Enterprise Funds,Solid Waste,F_6207,Solid Waste Grant Reimbursement,All Account,Net Amount (Revenue less Expense),Revenues,Intergovernmental,Intergovernmental Accounts,R_334010,State Government Grants - Op - Ncat,-210000
3732,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,2198283
3733,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,73963
3734,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,2500
3735,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,-5000
3736,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,5000
3737,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412070,Out Of Class,10800
3738,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412050,Night Shift,10500
3739,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Earnings,E_412010,Overtime,397554
3740,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,396706
3741,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,2575
3742,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_442020,Disposal Services,6749512
3743,CentBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443070,Vehicle Repair and Maintenance,1626534
3744,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,960
3745,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,310000
3746,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,31875
3747,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,80892
3748,NetZeroAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413210,Bus Passes,2000
3749,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413210,Bus Passes,2250
3750,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,136294
3751,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,309172
3752,BaseBudAct,Stage 2,FY15,Total Entity,Operating Offices,OU_13000,General Services,Current Departments,General Services Departments,Solid Waste and Recycling Division,D_13001721,Residential Collection,Fund Total,Enterprise Funds,Solid Waste,F_6007,Solid Waste and Recycling,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443030,Radio Equip M&R-Comm Division,13293
